patient_id,ho_ten,cccd,ngay_sinh,so_dien_thoai,email,dia_chi,benh,ket_qua_xet_nghiem,bac_si_phu_trach,ngay_kham
bdd640fb-0667-4ad1-9c80-317fa3b1799d,Quang Bùi,574881996130,18/07/1945,0592239533,dangjohn@example.org,"338 Thành Nguyễn, 895667",Tim mạch,7.51,Châu Hữu Vũ,21/01/2026
1a2a73ed-562b-4f79-8374-59eef50bea63,Linh Dương,463709430190,25/07/1961,0711245678,mbui@example.net,"849 Thành Trí Vũ, 183667",Huyết áp cao,6.21,Quý ông Tú Dương,01/03/2026
5ec42e08-29a3-42e9-9d65-a441d58842de,Châu Hoàng,162612614460,29/10/1979,0305574639,john12@example.org,"5 Thành Mai Mai, 169403",Tiểu đường,9.72,Dương Hoàng,21/02/2026
24933b83-7577-40a9-a491-f0b2ea1fca65,Nhật Trí Mai,200098152790,29/09/1989,0518215070,vujohn@example.com,"7 Lâm Trần, 166613",Huyết áp cao,10.17,Ông Hoàng Nguyễn,02/02/2026
02f06b90-f143-462f-9c5c-0eed8da0365b,Thành Nguyễn,401244833717,05/03/1990,0939493726,jane23@example.org,"2 Lâm Hữu Bùi, 916449",Huyết áp cao,9.36,Trung Mai Mai,06/03/2026
e0f3eab0-5cec-4eb5-add9-68311ca35cfb,Anh Nam Hoàng,595328260134,10/12/1952,0873480489,cvu@example.org,"Quý cô Ngọc Mai
89 Quý cô Ngọc Mai, 847581",Khỏe mạnh,7.87,Nam Lê,27/02/2026
3f76be1d-1efa-4197-b394-988f847fd9b4,Ông Trung Nguyễn,527643170749,22/04/1978,0935973465,eduong@example.org,"105 Hưng Trần, 238739",Huyết áp cao,3.74,Ánh Mai,25/01/2026
5ab33edf-6e59-4ed3-a8b3-17fa18d0752b,Phương Phú Lê,877395989780,07/07/1984,0321734942,tbui@example.com,"338 Thảo Mai, 179046",Khỏe mạnh,3.76,Huy Thế Lê,20/04/2026
c0e9ab30-ed26-42e9-97e0-11b7f8102383,Vi Vũ,501704303515,01/07/1970,0356188160,johnpham@example.com,"74 Trọng Trí Lê, 161324",Khỏe mạnh,6.48,Khoa Hải Phạm,08/01/2026
eb5cf467-80ba-4d64-ba0e-cfea958ca9ba,Ánh Vũ,811918566116,05/07/1997,0782119254,johnduong@example.com,"939 Nhật Bảo Phạm, 802258",Khỏe mạnh,4.86,Chi Bùi,18/01/2026
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Bà Chi Vũ,255737558221,14/09/1980,0731130879,john88@example.org,"354 Quý ông Quang Trần, 377312",Khỏe mạnh,8.37,Trọng Hoàng Bùi,21/01/2026
b7b56ea7-35eb-432d-9ad6-20ab48212ddb,Quý cô Hồng Hoàng,356584253870,09/01/1971,0378201478,ztran@example.org,"427 Thành Đức Đặng, 137778",Tiểu đường,7.18,Nhật Văn Vũ,17/01/2026
eededb07-e623-4689-9d59-cd2a4eea04e7,Lâm Đặng,970155210486,11/09/1950,0944216868,john48@example.com,"2 Hạnh Mai Nguyễn, 872343",Khỏe mạnh,5.24,Kim Phạm,21/01/2026
df465290-61ee-411a-9bac-27a7b386f7a4,Thành Đặng,426666790368,06/08/1951,0396909710,inguyen@example.net,"54 Thành Trần, 220944",Tim mạch,5.74,Anh Quang Đặng,07/05/2026
98b8e4cc-1bc0-44fc-89cb-394243f59a85,Bảo Thị Phạm,844500645416,12/08/1979,0322528105,buijohn@example.net,"883 Nhật Nguyễn, 989208",Tim mạch,11.13,Phúc Nguyễn,08/03/2026
6703b636-5380-4904-a88c-7015aab97e49,Cô Kim Dương,752251166263,13/05/1949,0736605529,nguyenjane@example.net,"43 An Hải Mai, 808446",Khỏe mạnh,11.45,Bác Bảo Mai,28/03/2026
a2086977-a9f2-4336-83f4-a9a948a639d0,Vân Nguyễn,647736861812,04/10/1951,0384500318,hoangjane@example.org,"1 Chị Ánh Vũ, 355836",Khỏe mạnh,8.73,Bác Minh Bùi,29/01/2026
8498e113-b227-462c-b53d-4330cdda24ba,Trọng Bảo Đặng,493050503340,03/05/2002,0330974386,wnguyen@example.org,"98 Nhật Lê JaneHuyện, 888295",Huyết áp cao,10.36,Bảo Dương,05/03/2026
13d5f2f7-709b-4d97-864c-04af3d3f3799,Bảo Xuân Bùi,337737275074,17/11/1959,0336646738,johnhoang@example.org,"3 Nhật Đức Nguyễn, 165290",Tiểu đường,11.98,Yến Mai,04/05/2026
c3fe0183-e172-4725-9b52-ca5805000bc6,Bảo Phú Trần,470439376577,27/02/1957,0378052395,jane50@example.net,"34 Ông Thành Vũ, 812131",Huyết áp cao,7.62,Yến Trần,01/05/2026
06e745f9-88bc-439c-9f4c-3b79fb10987f,Phúc Đặng,930719672503,13/04/1982,0865681773,phamjane@example.org,"755 Lâm Phạm, 120324",Huyết áp cao,10.75,Trọng Phú Lê,27/03/2026
0a4e5b70-a6d9-44a3-b510-ab53c7fee39f,Anh Nam Bùi,675693972629,16/08/1996,0953229185,dangjohn@example.net,"45 Tú Hải Trần, 126925",Huyết áp cao,4.07,Bà Lâm Trần,21/02/2026
9793b9b4-1374-4146-b2c5-bd89b70b3420,Trọng Mai Bảo Đặng,834249188867,07/06/1997,0776105207,hoangjane@example.org,"850 Chị Thảo Lê, 968962",Tim mạch,10.29,Châu Vũ,07/04/2026
9dac6e83-4524-4ea6-a684-6099f7294951,Chị Lan Vũ,707629551790,14/12/1954,0355101097,hoangjohn@example.org,"9 Chị Linh Hoàng, 611233",Tim mạch,11.3,Khoa Vũ,14/02/2026
e14eb70d-b380-473a-989d-9d4ae15ca666,Quý cô Lan Lê,155142777094,27/01/1973,0761600391,john99@example.org,"7 Dũng Bùi xã, 825391",Khỏe mạnh,11.86,Chị Ngọc Nguyễn,18/02/2026
6cedd15d-5800-4c02-87ea-7ff58db06746,Ông Huy Mai,975150482750,28/09/1957,0554040873,phamjane@example.org,"374 Cô Nhật Phạm, 288158",Tim mạch,5.32,Anh Minh Hoàng,17/01/2026
